wavelength,jRGECO1a (calcium saturated) ab,jRGECO1a (calcium free) em,jRGECO1a (calcium free) ex,jRGECO1a (calcium free) 2p,jRGECO1a (calcium saturated) em,jRGECO1a (calcium saturated) ex,jRGECO1a (calcium saturated) 2p
924,,,,0.5343,,,0.2114
925,,,,0.5313,,,0.2157
926,,,,0.5283,,,0.2199
927,,,,0.5253,,,0.2241
928,,,,0.5223,,,0.2283
929,,,,0.5185,,,0.2319
930,,,,0.5148,,,0.2355
931,,,,0.5111,,,0.239
932,,,,0.5074,,,0.2426
933,,,,0.5036,,,0.2445
934,,,,0.4998,,,0.2464
935,,,,0.496,,,0.2482
936,,,,0.4922,,,0.2501
937,,,,0.4883,,,0.2526
938,,,,0.4845,,,0.2551
939,,,,0.4806,,,0.2577
940,,,,0.4768,,,0.2602
941,,,,0.476,,,0.2638
942,,,,0.4752,,,0.2673
943,,,,0.4744,,,0.2709
944,,,,0.4735,,,0.2745
945,,,,0.4707,,,0.2787
946,,,,0.4679,,,0.283
947,,,,0.4651,,,0.2872
948,,,,0.4623,,,0.2914
949,,,,0.4602,,,0.2941
950,,,,0.4581,,,0.2968
951,,,,0.456,,,0.2994
952,,,,0.4539,,,0.3021
953,,,,0.4512,,,0.3064
954,,,,0.4485,,,0.3108
955,,,,0.4458,,,0.3151
956,,,,0.4431,,,0.3195
957,,,,0.4428,,,0.3238
958,,,,0.4425,,,0.3281
959,,,,0.4421,,,0.3324
960,,,,0.4418,,,0.3367
961,,,,0.4419,,,0.3423
962,,,,0.4421,,,0.3479
963,,,,0.4422,,,0.3535
964,,,,0.4424,,,0.3591
965,,,,0.4418,,,0.3645
966,,,,0.4412,,,0.3699
967,,,,0.4407,,,0.3754
968,,,,0.4401,,,0.3808
969,,,,0.4392,,,0.3852
970,,,,0.4383,,,0.3895
971,,,,0.4374,,,0.3938
972,,,,0.4365,,,0.3982
973,,,,0.435,,,0.4024
974,,,,0.4336,,,0.4066
975,,,,0.4321,,,0.4108
976,,,,0.4307,,,0.415
977,,,,0.4308,,,0.4201
978,,,,0.4309,,,0.4252
979,,,,0.431,,,0.4303
980,,,,0.4311,,,0.4354
981,,,,0.4315,,,0.4397
982,,,,0.4318,,,0.4441
983,,,,0.4322,,,0.4484
984,,,,0.4326,,,0.4527
985,,,,0.4353,,,0.4582
986,,,,0.438,,,0.4637
987,,,,0.4407,,,0.4693
988,,,,0.4434,,,0.4748
989,,,,0.444,,,0.4815
990,,,,0.4445,,,0.4883
991,,,,0.4451,,,0.495
992,,,,0.4456,,,0.5018
993,,,,0.4479,,,0.5073
994,,,,0.4501,,,0.5127
995,,,,0.4524,,,0.5182
996,,,,0.4547,,,0.5237
997,,,,0.4597,,,0.5299
998,,,,0.4647,,,0.5362
999,,,,0.4697,,,0.5424
1000,,,,0.4748,,,0.5486
1001,,,,0.478,,,0.5587
1002,,,,0.4813,,,0.5688
1003,,,,0.4845,,,0.5789
1004,,,,0.4878,,,0.589
1005,,,,0.4923,,,0.5984
1006,,,,0.4968,,,0.6077
1007,,,,0.5012,,,0.6171
1008,,,,0.5057,,,0.6264
1009,,,,0.5092,,,0.6351
1010,,,,0.5127,,,0.6437
1011,,,,0.5162,,,0.6524
1012,,,,0.5197,,,0.661
1013,,,,0.5247,,,0.6708
1014,,,,0.5297,,,0.6805
1015,,,,0.5347,,,0.6903
1016,,,,0.5397,,,0.7
1017,,,,0.5451,,,0.7101
1018,,,,0.5505,,,0.7202
1019,,,,0.5559,,,0.7302
1020,,,,0.5614,,,0.7403
1021,,,,0.5676,,,0.7519
1022,,,,0.5738,,,0.7634
1023,,,,0.5801,,,0.775
1024,,,,0.5863,,,0.7865
1025,,,,0.592,,,0.7993
1026,,,,0.5977,,,0.812
1027,,,,0.6035,,,0.8248
1028,,,,0.6092,,,0.8375
1029,,,,0.6178,,,0.8463
1030,,,,0.6265,,,0.8552
1031,,,,0.6351,,,0.864
1032,,,,0.6438,,,0.8728
1033,,,,0.6534,,,0.8834
1034,,,,0.663,,,0.894
1035,,,,0.6725,,,0.9046
1036,,,,0.6821,,,0.9152
1037,,,,0.6922,,,0.926
1038,,,,0.7024,,,0.9368
1039,,,,0.7125,,,0.9476
1040,,,,0.7226,,,0.9584
1041,,,,0.73,,,0.9688
1042,,,,0.7374,,,0.9792
1043,,,,0.7448,,,0.9896
1044,,,,0.7522,,,1.0
1045,,,,0.7597,,,0.9956
1046,,,,0.7672,,,0.9912
1047,,,,0.7748,,,0.9868
1048,,,,0.7823,,,0.9825
1049,,,,0.7944,,,0.9835
1050,,,,0.8065,,,0.9846
1051,,,,0.8186,,,0.9856
1052,,,,0.8307,,,0.9867
1053,,,,0.8431,,,0.9873
1054,,,,0.8556,,,0.9878
1055,,,,0.868,,,0.9884
1056,,,,0.8805,,,0.9889
1057,,,,0.8835,,,0.9879
1058,,,,0.8865,,,0.9868
1059,,,,0.8895,,,0.9857
1060,,,,0.8925,,,0.9846
1061,,,,0.9019,,,0.9813
1062,,,,0.9113,,,0.978
1063,,,,0.9207,,,0.9747
1064,,,,0.9301,,,0.9713
1065,,,,0.9387,,,0.9684
1066,,,,0.9473,,,0.9655
1067,,,,0.956,,,0.9626
1068,,,,0.9646,,,0.9596
1069,,,,0.9679,,,0.9526
1070,,,,0.9711,,,0.9455
1071,,,,0.9744,,,0.9385
1072,,,,0.9776,,,0.9314
1073,,,,0.9832,,,0.9314
1074,,,,0.9888,,,0.9314
1075,,,,0.9944,,,0.9314
1076,,,,1.0,,,0.9314
1077,,,,0.9961,,,0.9288
1078,,,,0.9922,,,0.9262
1079,,,,0.9882,,,0.9236
1080,,,,0.9843,,,0.921
1081,,,,0.9797,,,0.9174
1082,,,,0.9751,,,0.9138
1083,,,,0.9705,,,0.9101
1084,,,,0.9659,,,0.9065
1085,,,,0.9603,,,0.9066
1086,,,,0.9548,,,0.9068
1087,,,,0.9492,,,0.9069
1088,,,,0.9437,,,0.907
1089,,,,0.9364,,,0.9084
1090,,,,0.9292,,,0.9098
1091,,,,0.9219,,,0.9111
1092,,,,0.9147,,,0.9125
1093,,,,0.9023,,,0.9111
1094,,,,0.89,,,0.9098
1095,,,,0.8777,,,0.9084
1096,,,,0.8654,,,0.907
1097,,,,0.8594,,,0.9075
1098,,,,0.8534,,,0.9081
1099,,,,0.8474,,,0.9086
1100,,,,0.8415,,,0.9091
1101,,,,0.8335,,,0.9167
1102,,,,0.8255,,,0.9243
1103,,,,0.8175,,,0.9319
1104,,,,0.8095,,,0.9396
1105,,,,0.8072,,,0.9444
1106,,,,0.8049,,,0.9492
1107,,,,0.8025,,,0.9541
1108,,,,0.8002,,,0.9589
1109,,,,0.7941,,,0.963
1110,,,,0.7879,,,0.967
1111,,,,0.7817,,,0.9711
1112,,,,0.7756,,,0.9751
1113,,,,0.7739,,,0.9792
1114,,,,0.7723,,,0.9832
1115,,,,0.7707,,,0.9872
1116,,,,0.769,,,0.9912
1117,,,,0.7682,,,0.9918
1118,,,,0.7675,,,0.9923
1119,,,,0.7667,,,0.9928
1120,,,,0.7659,,,0.9933
1121,,,,0.7684,,,0.9934
1122,,,,0.771,,,0.9935
1123,,,,0.7735,,,0.9935
1124,,,,0.776,,,0.9936
1125,,,,0.7787,,,0.991
1126,,,,0.7813,,,0.9883
1127,,,,0.784,,,0.9857
1128,,,,0.7866,,,0.9831
1129,,,,0.7895,,,0.9723
1130,,,,0.7924,,,0.9615
1131,,,,0.7952,,,0.9507
1132,,,,0.7981,,,0.9399
1133,,,,0.8012,,,0.9245
1134,,,,0.8042,,,0.9092
1135,,,,0.8072,,,0.8938
1136,,,,0.8103,,,0.8785
1137,,,,0.8143,,,0.8636
1138,,,,0.8184,,,0.8487
1139,,,,0.8224,,,0.8339
1140,,,,0.8265,,,0.819
1141,,,,0.838,,,0.8001
1142,,,,0.8496,,,0.7813
1143,,,,0.8611,,,0.7624
1144,,,,0.8726,,,0.7436
1145,,,,0.8706,,,0.7194
1146,,,,0.8686,,,0.6953
1147,,,,0.8666,,,0.6712
1148,,,,0.8647,,,0.6471
1149,,,,0.865,,,0.6268
1150,,,,0.8654,,,0.6065
1151,,,,0.8657,,,0.5862
1152,,,,0.866,,,0.5659
1153,,,,0.8552,,,0.5416
1154,,,,0.8444,,,0.5172
1155,,,,0.8336,,,0.4929
1156,,,,0.8228,,,0.4685
1157,,,,0.8049,,,0.4459
1158,,,,0.787,,,0.4232
1159,,,,0.7691,,,0.4006
1160,,,,0.7512,,,0.3779
1161,,,,0.7334,,,0.3587
1162,,,,0.7156,,,0.3395
1163,,,,0.6978,,,0.3203
1164,,,,0.68,,,0.3011
1165,,,,0.6574,,,0.2828
1166,,,,0.6347,,,0.2645
1167,,,,0.6121,,,0.2461
1168,,,,0.5895,,,0.2278
1169,,,,0.5715,,,0.2153
1170,,,,0.5534,,,0.2028
1171,,,,0.5354,,,0.1903
1172,,,,0.5174,,,0.1778
1173,,,,0.5015,,,0.1681
1174,,,,0.4856,,,0.1584
1175,,,,0.4697,,,0.1488
1176,,,,0.4538,,,0.1391
1177,,,,0.4404,,,0.132
1178,,,,0.4269,,,0.1249
1179,,,,0.4135,,,0.1179
1180,,,,0.4001,,,0.1108
1181,,,,0.386,,,0.1053
1182,,,,0.3719,,,0.0999
1183,,,,0.3578,,,0.0944
1184,,,,0.3436,,,0.089
1185,,,,0.3275,,,0.0839
1186,,,,0.3114,,,0.0789
1187,,,,0.2953,,,0.0738
1188,,,,0.2791,,,0.0687
1189,,,,0.2672,,,0.0645
1190,,,,0.2554,,,0.0603
1191,,,,0.2435,,,0.0561
1192,,,,0.2316,,,0.0519
1193,,,,0.2218,,,0.0494
1194,,,,0.212,,,0.0468
1195,,,,0.2021,,,0.0443
1196,,,,0.1923,,,0.0417
1197,,,,0.1834,,,0.0391
1198,,,,0.1745,,,0.0365
1199,,,,0.1655,,,0.034
1200,,,,0.1566,,,0.0314
1201,,,,0.1505,,,0.0296
1202,,,,0.1443,,,0.0279
1203,,,,0.1382,,,0.0261
1204,,,,0.1321,,,0.0244
1205,,,,0.1233,,,0.023
1206,,,,0.1146,,,0.0216
1207,,,,0.1059,,,0.0202
1208,,,,0.0971,,,0.0188
1209,,,,0.0924,,,0.0176
1210,,,,0.0876,,,0.0165
1211,,,,0.0829,,,0.0153
1212,,,,0.0782,,,0.0141
1213,,,,0.0743,,,0.0133
1214,,,,0.0705,,,0.0124
1215,,,,0.0667,,,0.0116
1216,,,,0.0629,,,0.0107
1217,,,,0.0592,,,0.01
1218,,,,0.0554,,,0.0094
1219,,,,0.0517,,,0.0087
1220,,,,0.048,,,0.0081
1221,,,,0.0464,,,0.0077
1222,,,,0.0448,,,0.0074
1223,,,,0.0432,,,0.0071
1224,,,,0.0415,,,0.0067
1225,,,,0.0395,,,0.0064
1226,,,,0.0376,,,0.006
1227,,,,0.0356,,,0.0056
1228,,,,0.0336,,,0.0053
1229,,,,0.0316,,,0.005
1230,,,,0.0296,,,0.0046
1231,,,,0.0277,,,0.0043
1232,,,,0.0257,,,0.004
1233,,,,0.0246,,,0.0037
1234,,,,0.0235,,,0.0035
1235,,,,0.0224,,,0.0032
1236,,,,0.0213,,,0.0029
1237,,,,0.0197,,,0.0028
1238,,,,0.0181,,,0.0026
1239,,,,0.0165,,,0.0025
