wavelength,jRGECO1a (calcium saturated) ab,jRGECO1a (calcium free) em,jRGECO1a (calcium free) ex,jRGECO1a (calcium free) 2p,jRGECO1a (calcium saturated) em,jRGECO1a (calcium saturated) ex,jRGECO1a (calcium saturated) 2p
437,0.0599,,0.1559,,,0.0217,
438,0.061,,0.158,,,0.0226,
439,0.0611,,0.1602,,,0.0234,
440,0.0611,,0.1622,,,0.0245,
441,0.0619,,0.1638,,,0.0258,
442,0.0646,,0.1656,,,0.0271,
443,0.0672,,0.1668,,,0.0282,
444,0.069,,0.1682,,,0.0297,
445,0.07,,0.1698,,,0.0315,
446,0.0718,,0.1703,,,0.0333,
447,0.0736,,0.1688,,,0.0345,
448,0.0756,,0.1667,,,0.036,
449,0.0781,,0.1654,,,0.0382,
450,0.08,,0.1643,,,0.0406,
451,0.0821,,0.1629,,,0.0427,
452,0.0845,,0.1615,,,0.0446,
453,0.0859,,0.161,,,0.0472,
454,0.0878,,0.1613,,,0.0501,
455,0.09,,0.1612,,,0.0529,
456,0.0919,,0.1601,,,0.0551,
457,0.0943,,0.1591,,,0.0572,
458,0.0964,,0.1587,,,0.0597,
459,0.0989,,0.1581,,,0.0627,
460,0.1016,,0.1574,,,0.0662,
461,0.1036,,0.1579,,,0.0701,
462,0.1054,,0.1591,,,0.0739,
463,0.1072,,0.1589,,,0.077,
464,0.1099,,0.1577,,,0.0795,
465,0.1126,,0.1576,,,0.0825,
466,0.1144,,0.1589,,,0.0856,
467,0.1172,,0.1592,,,0.0888,
468,0.1207,,0.158,,,0.0925,
469,0.1236,,0.1573,,,0.097,
470,0.1273,,0.1573,,,0.1012,
471,0.1317,,0.1569,,,0.1048,
472,0.1356,,0.1558,,,0.1086,
473,0.1402,,0.155,,,0.1133,
474,0.1445,,0.1544,,,0.1176,
475,0.1478,,0.1537,,,0.1219,
476,0.1509,,0.1536,,,0.1264,
477,0.1551,,0.154,,,0.1318,
478,0.1591,,0.1541,,,0.1374,
479,0.1628,,0.1535,,,0.1436,
480,0.1659,,0.1536,,,0.1498,
481,0.1693,,0.1542,,,0.1556,
482,0.1743,,0.1538,,,0.1608,
483,0.179,,0.1527,,,0.1661,
484,0.1828,,0.1532,,,0.172,
485,0.1865,,0.1551,,,0.1785,
486,0.1901,,0.1573,,,0.1846,
487,0.1937,,0.1588,,,0.1904,
488,0.1973,,0.1604,,,0.196,
489,0.2009,,0.1627,,,0.2019,
490,0.2046,,0.1655,,,0.208,
491,0.2091,,0.1679,,,0.2144,
492,0.2137,,0.1702,,,0.2204,
493,0.2182,,0.1729,,,0.2267,
494,0.2226,,0.1761,,,0.2333,
495,0.2265,,0.1788,,,0.2405,
496,0.2313,,0.1818,,,0.2473,
497,0.2362,,0.1853,,,0.2544,
498,0.2395,,0.1893,,,0.2622,
499,0.2431,,0.1939,,,0.2706,
500,0.2481,,0.1987,,,0.278,
501,0.2542,,0.2033,,,0.2854,
502,0.2612,,0.2069,,,0.2947,
503,0.2673,,0.2111,,,0.3056,
504,0.2734,,0.216,,,0.3156,
505,0.2812,,0.2218,,,0.3251,
506,0.2894,,0.2276,,,0.3365,
507,0.2976,,0.2342,,,0.3492,
508,0.3058,,0.2402,,,0.3617,
509,0.3156,,0.2454,,,0.3737,
510,0.3263,,0.2514,,,0.387,
511,0.3362,,0.2586,,,0.4016,
512,0.3453,,0.2674,,,0.4155,
513,0.3553,,0.2761,,,0.4282,
514,0.3669,,0.2842,,,0.4404,
515,0.3775,,0.2915,,,0.4532,
516,0.3915,,0.3,,,0.4674,
517,0.4064,,0.3098,,,0.482,
518,0.4195,,0.3206,,,0.4966,
519,0.4326,,0.3324,,,0.509,
520,0.4442,,0.3441,,,0.5213,
521,0.4556,,0.3544,,,0.5341,
522,0.4671,,0.3653,,,0.5475,
523,0.4781,,0.3792,,,0.5593,
524,0.4891,,0.3948,,,0.5691,
525,0.4979,,0.4093,,,0.5769,
526,0.504,,0.4224,,,0.5847,
527,0.5094,,0.4362,,,0.5924,
528,0.5142,,0.4506,,,0.6004,
529,0.5188,,0.4643,,,0.6072,
530,0.5249,,0.4774,,,0.6128,
531,0.5304,,0.49,,,0.6178,
532,0.5333,,0.5018,,,0.6222,
533,0.536,,0.5125,,,0.6266,
534,0.5396,,0.5235,,,0.6307,
535,0.5441,,0.5344,,,0.6343,
536,0.5487,,0.5429,,,0.6376,
537,0.5535,,0.55,,,0.641,
