wavelength ,blue_ex,blue_raw,green_ex,green_raw,lime_ex,lime_raw,red_ex,em_jrgeco_filter_under blue,em_jrgeco_filter_under green,em_jrgeco_filter_under lime,em_jrgeco_filter_under red,em_525_50_under_blue,dv2_shorter_wl_under_white_led,dv2_longer_wl_under_white_led,
848.28,753.65,867.08,796.50,829.27,874.64,945.22,867.08,756.17,829.27,804.06,872.12,723.41,736.01,741.05,
848.59,869.60,791.46,824.23,829.27,806.58,1025.87,859.52,728.45,791.46,824.23,778.86,854.48,776.34,778.86,
848.90,836.83,811.63,841.87,851.96,889.76,965.38,824.23,816.67,793.98,836.83,829.27,829.27,733.49,809.11,
849.20,884.72,811.63,814.15,819.19,811.63,894.80,872.12,766.26,814.15,809.11,773.82,768.78,776.34,741.05,
849.51,851.96,811.63,839.35,859.52,864.56,889.76,778.86,799.02,814.15,756.17,801.54,791.46,738.53,758.69,
849.81,889.76,867.08,857.00,859.52,920.01,904.89,872.12,748.61,781.38,844.39,771.30,786.42,783.90,751.13,
850.12,841.87,864.56,854.48,799.02,920.01,945.22,844.39,799.02,685.60,791.46,758.69,819.19,741.05,831.79,
850.43,796.50,763.73,786.42,791.46,849.43,917.49,821.71,788.94,829.27,748.61,758.69,801.54,738.53,713.32,
850.73,763.73,874.64,826.75,834.31,902.37,985.55,917.49,862.04,781.38,771.30,700.72,829.27,756.17,771.30,
851.04,824.23,851.96,819.19,761.21,894.80,977.98,872.12,826.75,814.15,811.63,801.54,851.96,821.71,748.61,
851.34,819.19,778.86,846.91,816.67,809.11,975.46,804.06,862.04,713.32,831.79,824.23,819.19,723.41,773.82,
851.65,899.85,791.46,799.02,902.37,786.42,932.61,814.15,844.39,799.02,751.13,763.73,796.50,761.21,761.21,
851.96,831.79,831.79,839.35,824.23,887.24,952.78,882.20,839.35,869.60,846.91,834.31,806.58,831.79,766.26,
852.26,783.90,809.11,884.72,867.08,846.91,1028.40,801.54,743.57,849.43,791.46,829.27,854.48,751.13,811.63,
852.57,851.96,758.69,793.98,854.48,849.43,899.85,834.31,846.91,831.79,824.23,804.06,819.19,720.88,748.61,
852.87,781.38,806.58,899.85,753.65,829.27,1035.96,849.43,791.46,814.15,801.54,804.06,725.93,773.82,733.49,
853.18,849.43,799.02,806.58,821.71,889.76,1028.40,806.58,746.09,839.35,783.90,763.73,829.27,723.41,821.71,
853.49,811.63,806.58,867.08,864.56,824.23,972.94,781.38,824.23,730.97,793.98,786.42,804.06,662.91,728.45,
853.79,821.71,814.15,862.04,826.75,839.35,887.24,819.19,758.69,839.35,821.71,746.09,748.61,751.13,738.53,
854.10,869.60,761.21,829.27,839.35,829.27,995.63,786.42,834.31,781.38,741.05,781.38,844.39,738.53,781.38,
854.40,809.11,819.19,793.98,756.17,912.45,975.46,836.83,831.79,728.45,836.83,788.94,816.67,751.13,733.49,
854.71,806.58,814.15,859.52,786.42,867.08,912.45,862.04,801.54,821.71,821.71,708.28,736.01,788.94,811.63,
